Package Name,App Name,Features
com.phikal.regex,ReGeX,regular expression
com.phikal.regex,ReGeX,match certain strings
com.phikal.regex,ReGeX,three game modes
com.phikal.regex,ReGeX,automatically submitted
com.phikal.regex,ReGeX,no questions asked
com.phikal.regex,ReGeX,notified in case s/he rises up a level
org.geometerplus.fbreader.plugin.local_opds_scanner,FBReader Calibre connector,local book catalogues
org.geometerplus.fbreader.plugin.local_opds_scanner,FBReader Calibre connector,automatic discovery of OPDS shares
org.geometerplus.fbreader.plugin.local_opds_scanner,FBReader Calibre connector,remote OPDS shares
free.rm.skytube.oss,SkyTube,YouTube player
free.rm.skytube.oss,SkyTube,block unwanted videos
free.rm.skytube.oss,SkyTube,video swipe controls
free.rm.skytube.oss,SkyTube,bookmark videos
free.rm.skytube.oss,SkyTube,import subscriptions from YouTube
free.rm.skytube.oss,SkyTube,play channels' playlists
free.rm.skytube.oss,SkyTube,download videos
free.rm.skytube.oss,SkyTube,channel subscription & non-intrusive notifications
it.lucci.cm.greyscaletheme,Greyscale,simple and minimal theme 
it.lucci.cm.greyscaletheme,Greyscale,Status bar
it.lucci.cm.greyscaletheme,Greyscale,Navigation bar
it.lucci.cm.greyscaletheme,Greyscale,shades of Material Grey
it.lucci.cm.greyscaletheme,Greyscale,Wallpaper (by Unsplash)
com.gunshippenguin.openflood,Open Flood,"simple, challenging and addictive puzzle game"
com.gunshippenguin.openflood,Open Flood,entire game board with a single color
,,
